layer,pos,target,n,auc
20,4,leaked_vs_not,270,0.6399910957760587
20,4,leaked_vs_approp,234,0.6101492060959068
20,4,refused_vs_rest,270,0.8486467236467237
20,5,leaked_vs_not,270,0.6455005843396963
20,5,leaked_vs_approp,234,0.586930503470837
20,5,refused_vs_rest,270,0.84508547008547
20,6,leaked_vs_not,270,0.6845122154822194
20,6,leaked_vs_approp,234,0.6096704699593074
20,6,refused_vs_rest,270,0.8268043684710351
20,7,leaked_vs_not,270,0.6802827091101341
20,7,leaked_vs_approp,234,0.5995372217346205
20,7,refused_vs_rest,270,0.8279914529914529
20,8,leaked_vs_not,270,0.6289721186487841
20,8,leaked_vs_approp,234,0.541530359849996
20,8,refused_vs_rest,270,0.8051994301994302
20,9,leaked_vs_not,270,0.6324781568256441
20,9,leaked_vs_approp,234,0.5831804037341419
20,9,refused_vs_rest,270,0.807573599240266
20,10,leaked_vs_not,270,0.6334798820190328
20,10,leaked_vs_approp,234,0.5340301603766058
20,10,refused_vs_rest,270,0.8118471035137702
20,11,leaked_vs_not,270,0.6576882408592575
20,11,leaked_vs_approp,234,0.6029681640469162
20,11,refused_vs_rest,270,0.825735992402659
20,12,leaked_vs_not,270,0.6595247370471368
20,12,leaked_vs_approp,234,0.6134205696960027
20,12,refused_vs_rest,270,0.8306030389363723
20,13,leaked_vs_not,270,0.6788357727196839
20,13,leaked_vs_approp,234,0.6747785845368227
20,13,refused_vs_rest,270,0.8270417853751186
20,14,leaked_vs_not,270,0.6682620067894708
20,14,leaked_vs_approp,234,0.6301763344769807
20,14,refused_vs_rest,270,0.8855650522317189
20,15,leaked_vs_not,270,0.7254716456118872
20,15,leaked_vs_approp,234,0.6589802920290433
20,15,refused_vs_rest,270,0.8608736942070274
20,16,leaked_vs_not,270,0.7052701875452166
20,16,leaked_vs_approp,234,0.6476502034628581
20,16,refused_vs_rest,270,0.8690645773979108
20,17,leaked_vs_not,270,0.6675385385942456
20,17,leaked_vs_approp,234,0.6157344610228995
20,17,refused_vs_rest,270,0.8603988603988604
20,18,leaked_vs_not,270,0.6188992153152651
20,18,leaked_vs_approp,234,0.6143780419692014
20,18,refused_vs_rest,270,0.8478157644824311
20,19,leaked_vs_not,270,0.6277477878568646
20,19,leaked_vs_approp,234,0.5614776988749701
20,19,refused_vs_rest,270,0.8453228869895536
20,20,leaked_vs_not,270,0.6659246480048973
20,20,leaked_vs_approp,234,0.6160536184472991
20,20,refused_vs_rest,270,0.797602089268756
20,21,leaked_vs_not,270,0.6657020424063665
20,21,leaked_vs_approp,234,0.6221973988669912
20,21,refused_vs_rest,270,0.792022792022792
20,22,leaked_vs_not,270,0.6608047192386889
20,22,leaked_vs_approp,234,0.5998563791590202
20,22,refused_vs_rest,270,0.8644349477682811
20,23,leaked_vs_not,270,0.6330346708219711
20,23,leaked_vs_approp,234,0.577674938163249
20,23,refused_vs_rest,270,0.8398622981956315
20,24,leaked_vs_not,270,0.666536813400857
20,24,leaked_vs_approp,234,0.5733663129338546
20,24,refused_vs_rest,270,0.8380816714150048
20,25,leaked_vs_not,270,0.682174856697646
20,25,leaked_vs_approp,234,0.6217186627303919
20,25,refused_vs_rest,270,0.8792735042735043
20,26,leaked_vs_not,270,0.6775001391284989
20,26,leaked_vs_approp,234,0.6295380196281817
20,26,refused_vs_rest,270,0.8806980056980058
20,27,leaked_vs_not,270,0.6762758083365795
20,27,leaked_vs_approp,234,0.6394318997845688
20,27,refused_vs_rest,270,0.8481718898385565
20,28,leaked_vs_not,270,0.6761645055373141
20,28,leaked_vs_approp,234,0.6753371100295222
20,28,refused_vs_rest,270,0.8399810066476733
20,29,leaked_vs_not,270,0.6923034114307974
20,29,leaked_vs_approp,234,0.7005505465570893
20,29,refused_vs_rest,270,0.8525641025641026
20,30,leaked_vs_not,270,0.7250820858144581
20,30,leaked_vs_approp,234,0.7096465331524775
20,30,refused_vs_rest,270,0.8285849952516618
20,31,leaked_vs_not,270,0.7447270298848016
20,31,leaked_vs_approp,234,0.7167477858453682
20,31,refused_vs_rest,270,0.8292972459639126
20,32,leaked_vs_not,270,0.711002281707385
20,32,leaked_vs_approp,234,0.7035825420888854
20,32,refused_vs_rest,270,0.8113722697056029
20,33,leaked_vs_not,270,0.682731370693973
20,33,leaked_vs_approp,234,0.6885821431421049
20,33,refused_vs_rest,270,0.8044871794871796
20,34,leaked_vs_not,270,0.7171239356669821
20,34,leaked_vs_approp,234,0.6989547594350913
20,34,refused_vs_rest,270,0.8011633428300095
20,35,leaked_vs_not,270,0.6963659636039845
20,35,leaked_vs_approp,234,0.686108673103008
20,35,refused_vs_rest,270,0.8086419753086419
20,36,leaked_vs_not,270,0.7048249763481552
20,36,leaked_vs_approp,234,0.6841139392005107
20,36,refused_vs_rest,270,0.8665716999050331
20,37,leaked_vs_not,270,0.69091212643998
20,37,leaked_vs_approp,234,0.6826777307907125
20,37,refused_vs_rest,270,0.8251424501424501
20,38,leaked_vs_not,270,0.6852913350770771
20,38,leaked_vs_approp,234,0.7101252692890768
20,38,refused_vs_rest,270,0.8361823361823362
20,39,leaked_vs_not,270,0.6938059992208804
20,39,leaked_vs_approp,234,0.7292747147530518
20,39,refused_vs_rest,270,0.8129154795821463
20,40,leaked_vs_not,270,0.6990372307863543
20,40,leaked_vs_approp,234,0.7557647809782175
20,40,refused_vs_rest,270,0.8092355175688509
20,41,leaked_vs_not,270,0.7393844955200622
20,41,leaked_vs_approp,234,0.7273597702066544
20,41,refused_vs_rest,270,0.8138651471984806
20,42,leaked_vs_not,270,0.7396071011185932
20,42,leaked_vs_approp,234,0.771563073485997
20,42,refused_vs_rest,270,0.8066239316239315
20,43,leaked_vs_not,270,0.7373253937336524
20,43,leaked_vs_approp,234,0.7618287720418095
20,43,refused_vs_rest,270,0.7958214624881291
20,44,leaked_vs_not,270,0.6892425844509988
20,44,leaked_vs_approp,234,0.7358174419532433
20,44,refused_vs_rest,270,0.8031813865147199
20,45,leaked_vs_not,270,0.6998163503812119
20,45,leaked_vs_approp,234,0.6557887177850474
20,45,refused_vs_rest,270,0.8342830009496677
20,46,leaked_vs_not,270,0.7273637931993989
20,46,leaked_vs_approp,234,0.6875448815128062
